                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6106,                 5.5156,                 1.6942,                      0,                      0,                      0,                      0,                 2.0598,                  4.698,                    1.7,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.9231,                 4.9991,                 1.6523,                      0,                      0,                      0,                      0,                 2.3628,                 4.6625,                 1.5732,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.7401,                 4.2771,                 1.2094,                0.00167,                    0.5,                0.00359,                0.00127,                 2.2529,                 4.3734,                 1.3164,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.4398,                 3.6509,                 1.0756,                0.00333,                      1,                0.01236,                0.00609,                 1.8973,                  4.053,                  1.143,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.0129,                 3.9144,                0.79943,                0.00333,                      1,                0.01106,                0.00815,                  1.099,                 3.3955,                0.93229,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.3254,                 2.2178,                 1.0409,                0.00333,                      1,                0.01061,                0.00727,                 1.1375,                 3.3198,                0.96426,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.0195,                 3.9548,                0.83026,                0.00333,                      1,                0.01008,                0.00663,                0.96391,                 3.6265,                0.86395,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.1129,                 2.2898,                 1.0144,                0.00333,                      1,                0.00993,                0.00661,                0.70887,                 3.5949,                0.82976,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.2071,                 2.1048,                 1.0165,                0.00333,                      1,                0.00985,                0.00658,                0.83603,                 3.5453,                0.87724,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.3526,                 2.1123,                0.99099,                0.00333,                      1,                0.74746,                 0.4234,                0.84117,                 3.3977,                0.95833,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.2452,                  1.616,                 1.0022,                0.00333,                      1,                0.74792,                0.31748,                 1.0108,                 3.2609,                0.93821,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.0998,                 1.4895,                 1.0148,                0.00333,                      1,                0.49994,                  0.227,                 1.0152,                 3.2172,                0.89262,             0.00083763,             0.00083763,             0.00083763
                     13,                  1.157,                 2.2712,                 1.0697,                0.00333,                      1,                0.00934,                0.00549,                0.95584,                 3.5699,                 0.9155,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.1484,                 1.7428,                0.97968,                0.00333,                      1,                0.00919,                0.00568,                  0.982,                 3.4511,                0.92551,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.1905,                 1.7239,                 0.9456,                0.00333,                      1,                0.00882,                0.00645,                 1.0363,                 3.2939,                0.94302,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.1942,                 1.9125,                 1.1681,                0.00333,                      1,                0.00882,                0.00645,                 1.0363,                 3.2939,                0.94302,              0.0010729,              0.0010729,              0.0010729
                     17,                 1.1124,                   1.43,                 1.1058,                0.00333,                      1,                 0.5388,                0.34007,                 1.0849,                 2.8128,                 1.1315,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.0753,                 1.6083,                 1.0511,                      1,                0.68202,                0.80382,                0.55024,                  1.027,                 2.3729,                 1.0854,               0.001181,               0.001181,               0.001181
                     19,                 1.3299,                 1.3326,                0.99845,                      1,                0.68202,                0.80382,                0.55024,                  1.027,                 2.3729,                 1.0854,              0.0012327,              0.0012327,              0.0012327
                     20,                 1.1341,                 1.4217,                 1.0001,                      1,                0.78848,                  0.995,                0.82079,                0.73606,                 2.3299,                0.86817,              0.0012828,              0.0012828,              0.0012828
                     21,                  1.099,                 1.6045,                  1.002,                0.76295,                0.81473,                  0.945,                0.76093,                0.91259,                 2.4295,                0.96011,              0.0013313,              0.0013313,              0.0013313
                     22,                 1.1546,                 1.4911,                 1.0054,                0.76295,                0.81473,                  0.945,                0.76093,                0.91259,                 2.4295,                0.96011,              0.0013783,              0.0013783,              0.0013783
                     23,                  1.046,                  1.555,                 1.0498,                      1,                0.45174,                  0.995,                0.74609,                 1.0158,                 2.2902,                 1.0309,              0.0014236,              0.0014236,              0.0014236
                     24,                0.94192,                 1.3778,                 1.0261,                      1,                0.45174,                  0.995,                0.74609,                 1.0158,                 2.2902,                 1.0309,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.1555,                 1.5111,                 1.0614,                      1,                0.98258,                  0.995,                0.73361,                 1.0503,                 1.8045,                 0.9555,              0.0015096,              0.0015096,              0.0015096
                     26,                 1.0092,                 1.2384,                 0.9756,                      1,                0.98258,                  0.995,                0.73361,                 1.0503,                 1.8045,                 0.9555,               0.001505,               0.001505,               0.001505
                     27,                0.98139,                 1.3116,                0.95914,                 0.9722,                      1,                  0.995,                0.70249,                 1.1811,                 1.5212,                 1.0883,              0.0014852,              0.0014852,              0.0014852
                     28,                0.97057,                 1.1825,                0.92094,                 0.9722,                      1,                  0.995,                0.70249,                 1.1811,                 1.5212,                 1.0883,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0188,                 1.5308,                0.95453,                      1,                0.98536,                  0.995,                 0.7772,                0.87679,                 1.6444,                0.92725,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1335,                 1.2794,                 1.0408,                      1,                0.98536,                  0.995,                 0.7772,                0.87679,                 1.6444,                0.92725,              0.0014258,              0.0014258,              0.0014258
                     31,                0.90353,                 1.2465,                0.98164,                      1,                0.98528,                  0.995,                0.82904,                0.83288,                 1.2163,                0.92003,               0.001406,               0.001406,               0.001406
                     32,                0.90649,                 1.3021,                 1.0491,                      1,                0.98528,                  0.995,                0.82904,                0.83288,                 1.2163,                0.92003,              0.0013862,              0.0013862,              0.0013862
                     33,                0.86483,                 1.2422,                 0.9987,                      1,                0.99223,                  0.995,                0.85191,                0.84744,                 1.0727,                 0.9015,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0011,                   1.08,                 0.9117,                      1,                0.99223,                  0.995,                0.85191,                0.84744,                 1.0727,                 0.9015,              0.0013466,              0.0013466,              0.0013466
                     35,                0.88358,                 1.1273,                0.88509,                      1,                0.99493,                  0.995,                0.79557,                0.85566,                 1.0115,                0.87735,              0.0013268,              0.0013268,              0.0013268
                     36,                0.97513,                 1.3579,                0.94982,                      1,                0.99493,                  0.995,                0.79557,                0.85566,                 1.0115,                0.87735,               0.001307,               0.001307,               0.001307
                     37,                 0.9095,                 1.1955,                 0.8954,                      1,                0.99776,                  0.995,                 0.7772,                0.83374,                0.96255,                0.87061,              0.0012872,              0.0012872,              0.0012872
                     38,                0.84807,                 1.2428,                0.98391,                      1,                0.99776,                  0.995,                 0.7772,                0.83374,                0.96255,                0.87061,              0.0012674,              0.0012674,              0.0012674
                     39,                0.87721,                 1.0308,                  0.903,                0.99677,                      1,                  0.995,                 0.8042,                0.85283,                0.83778,                0.88641,              0.0012476,              0.0012476,              0.0012476
                     40,                0.91895,                 1.2026,                0.93834,                0.99677,                      1,                  0.995,                 0.8042,                0.85283,                0.83778,                0.88641,              0.0012278,              0.0012278,              0.0012278
                     41,                0.92204,                  1.237,                 0.9566,                0.99379,                      1,                  0.995,                0.83721,                0.76537,                0.95447,                0.86863,               0.001208,               0.001208,               0.001208
